price,location,baths,area,bedrooms
21000000,DHA Defence,3,8.9 Marla,3
6500000,Malir,1,3.2 Marla,2
13000000,Gadap Town,4,9.6 Marla,4
32000000,DHA Defence,4,4 Marla,4
4000000,Malir,3,3.2 Marla,7
16500000,Gulshan-e-Iqbal Town,4,9.8 Marla,4
110000000,DHA Defence,6,1 Kanal,6
30000000,Cantt,3,10.2 Marla,3
12500000,Gulshan-e-Iqbal Town,3,7.6 Marla,3
4100000,Abul Hassan Isphani Road,2,3.2 Marla,2
40000000,Nazimabad,8,13.4 Marla,11
28000000,Cantt,3,11.4 Marla,3
32500000,Cantt,3,11.4 Marla,3
40000000,Cantt,4,13.2 Marla,4
59500000,Malir,5,14 Marla,5
71500000,Malir,5,1 Kanal,5
55000000,Malir,4,14 Marla,4
68500000,Malir,5,1 Kanal,5
67000000,Malir,5,1 Kanal,5
120000000,Falcon Complex Faisal,5,1 Kanal,5
110000000,Falcon Complex Faisal,5,1 Kanal,5
119000000,Falcon Complex Faisal,5,1 Kanal,5
19000000,Shahra-e-Faisal,4,9.6 Marla,4
7550000,Gizri,2,5.2 Marla,2
4500000,Saddar Town,1,1.3 Marla,2
6900000,Scheme 33,3,6.1 Marla,4
4500000,Gulistan-e-Jauhar,2,4.8 Marla,2
85000000,Gulshan-e-Iqbal Town,6,1 Kanal,6
60000000,Gulshan-e-Iqbal Town,4,9.7 Marla,4
120000000,Gulshan-e-Iqbal Town,6,1.2 Kanal,6
25000000,DHA Defence,1,6 Marla,1
30500000,DHA Defence,1,5.5 Marla,1
100000000,Gulshan-e-Iqbal Town,9,9.6 Marla,9
105000000,Navy Housing Scheme Karsaz,6,14 Marla,6
55000000,Gulshan-e-Iqbal Town,3,13.4 Marla,5
95000000,Cantt,6,1.1 Kanal,7
20000000,Bahria Town Karachi,3,8 Marla,3
14500000,Bahria Town Karachi,5,14 Marla,5
22500000,DHA Defence,3,8 Marla,3
45000000,Gulistan-e-Jauhar,4,10.6 Marla,4
21000000,Bahria Town Karachi,3,8 Marla,3
8500000,Jinnah Avenue,3,8 Marla,3
85000000,Cantt,6,1.1 Kanal,6
25000000,DHA Defence,3,8 Marla,3
3760000,PAF Housing Scheme,2,5.2 Marla,2
30000000,Gulshan-e-Iqbal Town,2,6.7 Marla,3
72500000,North Nazimabad,8,18 Marla,8
120000000,DHA Defence,3,11.2 Marla,4
95000000,Gulshan-e-Iqbal Town,5,1.2 Kanal,5
35100000,Cantt,3,12.2 Marla,3
70000000,Cantt,6,1.1 Kanal,6
110000000,Gulshan-e-Iqbal Town,6,1.5 Kanal,6
6100000,Gulshan-e-Iqbal Town,2,3.7 Marla,2
150000000,Gulshan-e-Iqbal Town,7,2 Kanal,7
110000000,North Nazimabad,8,1.5 Kanal,8
110000000,Navy Housing Scheme Karsaz,6,17.5 Kanal,6
3500000,Abul Hassan Isphani Road,3,5.1 Marla,5
22000000,DHA Defence,3,8 Marla,3
70000000,Shaheed Millat Road,4,8.8 Marla,4
8500000,Scheme 33,3,6.7 Marla,3
14000000,Saddar Town,4,9 Marla,4
4100000,North Karachi,2,3.4 Marla,4
3400000,Anda Mor Road,2,2.9 Marla,2
15000000,Gulshan-e-Iqbal Town,3,7.6 Marla,3
4666000,Fazaia Housing Scheme,2,5.8 Marla,2
4848000,Scheme 33,3,3.6 Marla,3
95000000,Cantt,6,1.1 Kanal,7
72500000,DHA Defence,4,18.2 Marla,4
7000000,North Karachi,3,3.4 Marla,3
17000000,Clifton,3,6.2 Marla,3
1700000,Lyari Town,2,3.2 Marla,2
8000000,DHA Defence,2,4.7 Marla,2
7800000,DHA Defence,2,4.4 Marla,3
22500000,DHA Defence,3,6.7 Marla,3
103500000,Clifton,4,18.4 Marla,4
30000000,DHA Defence,2,7.3 Marla,2
53000000,DHA Defence,4,11.7 Marla,4
6500000,North Nazimabad,2,3.2 Marla,3
8000000,Gulistan-e-Jauhar,3,7.6 Marla,3
15000000,DHA Defence,3,5.6 Marla,3
8000000,Gulistan-e-Jauhar,3,7.6 Marla,3
72500000,North Nazimabad,8,18 Marla,8
11500000,Gulistan-e-Jauhar,3,10.7 Marla,3
4790000,Bahria Town Karachi,2,4.2 Marla,2
3200000,Gadap Town,3,2.8 Marla,4
6000000,Bahria Town Karachi,2,4.2 Marla,2
18000000,Gulshan-e-Iqbal Town,2,7.3 Marla,3
12400000,Defence View Society,2,4.7 Marla,2
9500000,Cantt,2,6.7 Marla,3
8000000,Bahria Town Karachi,3,8 Marla,3
4800000,Bahria Town Karachi,2,4.2 Marla,2
3650000,Gadap Town,2,3.3 Marla,2
16000000,North Karachi,5,4.8 Marla,5
4050000,Gulshan-e-Iqbal Town,2,3.3 Marla,2
14500000,Bahria Town Karachi,4,14 Marla,4
4700000,Federal B Area,2,1.8 Kanal,3
4666000,Fazaia Housing Scheme,2,5.8 Marla,2
6642000,Northern Bypass,3,5 Marla,3
12200000,Nazimabad,3,5.3 Marla,3
15000000,Gulistan-e-Jauhar,5,6 Marla,6
3300000,Gulistan-e-Jauhar,2,1.9 Marla,2
3700000,Gulistan-e-Jauhar,2,4 Marla,2
6000000,Gulistan-e-Jauhar,2,4 Marla,2
16000000,Gulistan-e-Jauhar,5,7 Marla,5
2600000,Gulistan-e-Jauhar,1,2.2 Marla,1
14500000,Gulistan-e-Jauhar,3,9.6 Marla,3
6000000,Gulshan-e-Iqbal Town,2,4 Marla,2
6500000,P & T Colony,2,3.2 Marla,2
50000000,Sea View Apartments,3,10.2 Marla,3
3900000,Baldia Town,4,2.2 Marla,4
21000000,Scheme 33,4,4.8 Marla,4
8500000,North Nazimabad,2,4.8 Marla,2
12900000,DHA Defence,3,6.4 Marla,3
6200000,Gulistan-e-Jauhar,3,6 Marla,3
6642000,Fazaia Housing Scheme,3,5 Marla,3
130000000,DHA Defence,6,1 Kanal,6
85000000,DHA Defence,5,1 Kanal,5
17500000,North Nazimabad,3,7.6 Marla,3
120000000,DHA Defence,6,2 Kanal,6
150000000,DHA Defence,6,2 Kanal,6
4666000,Fazaia Housing Scheme,2,5.8 Marla,2
3763000,Fazaia Housing Scheme,2,5.2 Marla,2
4090000,Fazaia Housing Scheme,2,5.7 Marla,2
4666000,Fazaia Housing Scheme,2,5.8 Marla,2
3763000,Fazaia Housing Scheme,2,5.2 Marla,2
4090000,Fazaia Housing Scheme,2,5.7 Marla,2
7500000,Bahria Town Karachi,3,5 Marla,3
4800000,Bahria Town Karachi,2,4.2 Marla,2
2200000,Malir,1,1.8 Marla,1
17500000,Bahria Town Karachi,4,14 Marla,4
77500000,DHA Defence,5,1 Kanal,5
125000000,DHA Defence,5,1 Kanal,5
40000000,Cantt,3,9.8 Marla,3
102500000,DHA Defence,6,1 Kanal,6
6642000,Northern Bypass,3,5 Marla,3
16500000,Gulistan-e-Jauhar,6,6.7 Marla,6
6600000,Nazimabad,2,4.7 Marla,2
3500000,Northern Bypass,3,5 Marla,3
14000000,Federal B Area,3,4.8 Marla,6
11500000,Bahria Town Karachi,3,8 Marla,3
17000000,Jamshed Town,3,7.1 Marla,3
7500000,Gulshan-e-Iqbal Town,3,5 Marla,3
4500000,Gulistan-e-Jauhar,2,3.8 Marla,2
2500000,Gulistan-e-Jauhar,1,2 Marla,1
10500000,Gulshan-e-Iqbal Town,2,7.8 Marla,3
4666000,Fazaia Housing Scheme,2,5.8 Marla,2
3763000,Fazaia Housing Scheme,2,5.2 Marla,2
4090000,Fazaia Housing Scheme,2,5.7 Marla,2
5900000,Federal B Area,3,4.8 Marla,3
27500000,Bahria Town Karachi,5,10.9 Marla,5
12000000,Gulistan-e-Jauhar,3,10.2 Marla,3
13700000,Bahria Town Karachi,3,6.1 Marla,3
32000000,Cantt,3,11.4 Marla,3
5100000,Bahria Town Karachi,2,4.2 Marla,2
5200000,Gulistan-e-Jauhar,2,4.2 Marla,2
8500000,Gulshan-e-Usman Housing Society,3,5 Marla,3
10500000,Liaquatabad,10,3.6 Marla,11
17500000,Gulshan-e-Iqbal Town,3,8 Marla,3
20000000,Jamshed Town,3,9.3 Marla,5
1800000,Liaquatabad,1,1.8 Marla,1
13000000,Gulshan-e-Iqbal Town,4,4.8 Marla,4
6500000,Gulistan-e-Jauhar,3,6 Marla,3
82500000,DHA Defence,4,14.2 Marla,4
20500000,Clifton,2,5.9 Marla,2
27000000,Clifton,3,8.7 Marla,3
27000000,DHA Defence,1,5.8 Marla,1
27000000,DHA Defence,1,5.8 Marla,1
27000000,DHA Defence,1,5.8 Marla,1
10300000,DHA Defence,2,4.7 Marla,2
14000000,DHA Defence,3,6.5 Marla,3
10300000,DHA Defence,2,4.7 Marla,2
14000000,DHA Defence,3,6.5 Marla,3
14000000,DHA Defence,3,6.5 Marla,3
4666000,Fazaia Housing Scheme,2,5.8 Marla,2
6642000,Northern Bypass,3,5 Marla,3
6642000,Fazaia Housing Scheme,3,5 Marla,3
7500000,Chapal Uptown,3,4.8 Marla,3
66000000,DHA Defence,4,13.8 Marla,4
4800000,Gulshan-e-Iqbal Town,2,4.2 Marla,2
14500000,Bahria Town Karachi,3,14 Marla,3
9500000,Nazimabad,3,8.6 Marla,3
10000000,Gadap Town,3,4.8 Marla,3
185000000,DHA Defence,7,2 Kanal,7
4090000,Fazaia Housing Scheme,2,5.7 Marla,2
6642000,Northern Bypass,3,5 Marla,3
145000000,DHA Defence,6,1.3 Kanal,6
16500000,Gulistan-e-Jauhar,4,4.8 Marla,4
2120000,Gadap Town,1,8.1 Marla,2
6642000,Northern Bypass,3,5 Marla,3
15000000,Baloch Colony,2,8 Marla,2
8500000,Federal B Area,3,6 Marla,3
12000000,DHA Defence,3,4.7 Marla,3
70000000,Bath Island,4,10 Marla,4
10000000,Bahria Town Karachi,3,6 Marla,3
12000000,Gadap Town,3,9.6 Marla,3
20000000,Scheme 33,3,8 Marla,3
4000000,North Karachi,2,3.2 Marla,3
45000000,Gulshan-e-Iqbal Town,7,8 Marla,7
13500000,Manzoor Colony,6,4.8 Marla,6
4000000,Gadap Town,3,3.4 Marla,3
14000000,North Karachi,6,5 Marla,6
8500000,Cantt,2,4.8 Marla,3
11800000,Delhi Colony,3,8 Marla,3
3500000,Gadap Town,3,4.8 Marla,3
38500000,North Nazimabad,3,16 Marla,3
12000000,Airport,4,4.8 Marla,6
6850000,Gadap Town,3,6.2 Marla,3
5200000,Gulshan-e-Iqbal Town,3,5.3 Marla,3
6000000,Gadap Town,3,5.1 Marla,7
7500000,Gulshan-e-Iqbal Town,3,5.4 Marla,3
6000000,North Nazimabad,2,4 Marla,2
4000000,Gizri,2,7.1 Marla,3
10000000,Gulistan-e-Jauhar,3,6 Marla,3
2100000,Gulshan-e-Iqbal Town,1,2 Marla,2
3800000,Bahria Town Karachi,2,4.2 Marla,2
2700000,Anda Mor Road,2,3.6 Marla,2
2000000,Federal B Area,1,1.8 Marla,2
30000000,Cantt,3,10 Marla,3
26000000,Clifton,3,8.2 Marla,3
10000000,Liaquatabad,1,3.6 Marla,3
